Emirate,Police Station,Year,Month,Date,City,Road,Report Number,Day,Week,Report type,Reasons,Computed,Streets,Street,Place,Location,lighting,Weather,Road surface,Intersection,Accident Type,Nationalities,Seat Belt,Injured person position,Injured person's seat,Degree of the injury,Age of the injured,Gender,Gender of the injured,Inp Age,Age Group,Date - Month,Nationality of the Injured person,Day,Iac Rep Time,Time,Age Group - Ministry,Computed2,Area,Block,Str Code,Accident Description,Location,Fasten seat belt,Road speed limit,Pedestrian action,Number of Lanes
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Intersection,day,clear,Dry,Half Perpendicular Intersection,Perpendicular collision,Jordan,N,Passenger,Back passenger seat,Minor,3,M,Male,3,1 to 7 years,Jan,Arab States,Saturday,14:42,PM,Below 18 years,1,Al Hosn,Block 13-2,14,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the south to the north, taking the right lane. The first afflicted vehicle was travelling from east to the west taking the the left lane. the second afflicted vehicle was travelling from the east to the west taking the right lane. and because the former vehicle was running the red light, the front side of it collided with the left front side of the first afflicted vehicle which in returns, drifted colliding with right front side of the  the second afflicted vehicle (motorcycle). and they both drifted and collided with left front side of third afflicted vehicle. All the vehicles stopped in the middle of the crossroad. As a result, the driver of the vehicle that caused the accident, and the two passengers were injured. The passengers of the first afflicted vehicle and the driver of the second afflicted vehicle, also were injured. Adding to that, material damages were caused to both vehicles. everything was settled",The intersection of Rashid bin Saeed Street with the Corniche Street,No,60,None,3
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Intersection,day,clear,Dry,Half Perpendicular Intersection,Perpendicular collision,Palestine,Y,Passenger,Front passenger seat,Minor,31,F,Female,31,31 to 45 years,Jan,Arab States,Saturday,14:42,PM,31 to 45 years,1,Al Hosn,Block 13-2,14,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the south to the north, taking the right lane. The first afflicted vehicle was travelling from east to the west taking the the left lane. the second afflicted vehicle was travelling from the east to the west taking the right lane. and because the former vehicle was running the red light, the front side of it collided with the left front side of the first afflicted vehicle which in returns, drifted colliding with right front side of the  the second afflicted vehicle (motorcycle). and they both drifted and collided with left front side of third afflicted vehicle. All the vehicles stopped in the middle of the crossroad. As a result, the driver of the vehicle that caused the accident, and the two passengers were injured. The passengers of the first afflicted vehicle and the driver of the second afflicted vehicle, also were injured. Adding to that, material damages were caused to both vehicles. everything was settled",The intersection of Rashid bin Saeed Street with the Corniche Street,Yes,60,None,3
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Intersection,day,clear,Dry,Half Perpendicular Intersection,Perpendicular collision,Jordan,Y,Driver,Driver's seat,Moderate,35,F,Female,35,31 to 45 years,Jan,Arab States,Saturday,14:42,PM,31 to 45 years,1,Al Hosn,Block 13-2,14,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the south to the north, taking the right lane. The first afflicted vehicle was travelling from east to the west taking the the left lane. the second afflicted vehicle was travelling from the east to the west taking the right lane. and because the former vehicle was running the red light, the front side of it collided with the left front side of the first afflicted vehicle which in returns, drifted colliding with right front side of the  the second afflicted vehicle (motorcycle). and they both drifted and collided with left front side of third afflicted vehicle. All the vehicles stopped in the middle of the crossroad. As a result, the driver of the vehicle that caused the accident, and the two passengers were injured. The passengers of the first afflicted vehicle and the driver of the second afflicted vehicle, also were injured. Adding to that, material damages were caused to both vehicles. everything was settled",The intersection of Rashid bin Saeed Street with the Corniche Street,Yes,60,None,3
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Intersection,day,clear,Dry,Half Perpendicular Intersection,Perpendicular collision,Jordan,Y,Driver,Driver's seat,Minor,40,M,Male,40,31 to 45 years,Jan,Arab States,Saturday,14:42,PM,31 to 45 years,1,Al Hosn,Block 13-2,14,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the south to the north, taking the right lane. The first afflicted vehicle was travelling from east to the west taking the the left lane. the second afflicted vehicle was travelling from the east to the west taking the right lane. and because the former vehicle was running the red light, the front side of it collided with the left front side of the first afflicted vehicle which in returns, drifted colliding with right front side of the  the second afflicted vehicle (motorcycle). and they both drifted and collided with left front side of third afflicted vehicle. All the vehicles stopped in the middle of the crossroads. As a result, the driver of the vehicle that caused the accident, and the two passengers were injured. The passengers of the first afflicted vehicle and the driver of the second afflicted vehicle, also were injured. Adding to that, material damages were caused to both vehicles. everything was settled",The intersection of Rashid bin Saeed Street with the Corniche Street,Yes,60,None,3
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Intersection,day,clear,Dry,Half Perpendicular Intersection,Perpendicular collision,Bangladesh,Y,Driver,Driver's seat,Severe,26,M,Male,26,18 to 30 years,Jan,Asian States,Saturday,14:42,PM,18 to 30 years,1,Al Hosn,Block 13-2,14,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the south to the north, taking the right lane. The first afflicted vehicle was travelling from east to the west taking the the left lane. the second afflicted vehicle was travelling from the east to the west taking the right lane. and because the former vehicle was running the red light, the front side of it collided with the left front side of the first afflicted vehicle which in returns, drifted colliding with right front side of the  the second afflicted vehicle (motorcycle). and they both drifted and collided with left front side of third afflicted vehicle. All the vehicles stopped in the middle of the crossroad. As a result, the driver of the vehicle that caused the accident, and the two passengers were injured. The passengers of the first afflicted vehicle and the driver of the second afflicted vehicle, also were injured. Adding to that, material damages were caused to both vehicles. everything was settled",The intersection of Rashid bin Saeed Street with the Corniche Street,Yes,60,None,3
Abu Dhabi,Khaldiya Police Station,2013,January,06-01-13,Abu Dhabi,Internal road,1.0013E+11,6,First week,Traffic accident with injuries,Not leaving enough space,1,Street Karama(24),Street Karama(24),Govt. authority,Single road,day,clear,????,Not on Intersection,Rear collision,UAE,Y,Driver,Driver's seat,Moderate,35,M,Male,35,31 to 45 years,Jan,UAE,Sunday,12:28,PM,31 to 45 years,1,Sefarat,Block 25-2,15,"After examining and inspecting the accident's site, the following was revealed:- After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the west to the east, taking the middle lane, while the afflicted vehicle was travelling from west to the east, taking the middle lane. The front side of former collided with the back side of the afflicted vehicle because he did not keep his distance. As a result, the driver of the afflicted vehicle was injured and material damages were caused to both vehicles, as shown in the diagram.",Near the Iranian embassy,Yes,60,None,3
Abu Dhabi,Shaabiya Police Station,2013,January,06-01-13,Abu Dhabi,Internal road,1.0013E+11,6,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Two-way road,day,clear,Dry,Half Perpendicular Intersection,Person run over,Syria,N,Pedestrian,No passenger,Minor,6,M,Male,6,1 to 7 years,Jan,Arab States,Sunday,15:30,PM,Below 18 years,1,Dhafra (Abu Dhabi),Block 15-1,14,"After examining and inspecting the accident's site, the following was revealed:- The vehicle that caused the accident was travelling from the north to the south, taking the right lane on a side-street. And while the accident victim was crossing the street, the former committed a hit and run causing injuries to the victim. no damage was caused to the vehicle and everything was settled.","Side Street, Powerhouse Area, behind Al Wahda Mall",No,20,None,2
Abu Dhabi,Al Madina Police Station,2013,January,06-01-13,Abu Dhabi,Internal road,1.0013E+11,6,First week,Traffic accident with injuries,Lack of driving awareness,1,Street Khalifa Bin Zayed(3),Street Khalifa Bin Zayed(3),Commercial area,Car parking,day,clear,Dry,Not on Intersection,Side collision,Egypt,Y,Driver,Driver's seat,Minor,44,M,Male,44,31 to 45 years,Jan,Arab States,Sunday,18:45,PM,31 to 45 years,1,Markaziya,Block 51-1,28,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the south to the north inside a parking lot. The two afflicted vehicles were parked inside. And because the former wasn't cautious, the front left side of his vehicle collided with back side of the first afflicted vehicle, then it drifted and the front side of it collided with the back left side of the second afflicted vehicle. As a result, the driver of the vehicle that caused the accident was injured and material damages were caused to all the vehicles, as shown in the diagram.","Khalifa Street, Al Noor Hospital Parking",Yes,20,None,1
Abu Dhabi,Shaabiya Police Station,2013,January,08-01-13,Abu Dhabi,Internal road,1.0013E+11,8,Second week,Traffic accident with injuries,Negligence and inobservance,1,Khalifa Bin Shakhbout Street (28),Khalifa Bin Shakhbout Street (28),Residential area,Intersection,day,clear,Dry,Perpendicular Intersection,Rear collision,UAE,Y,Driver,Driver's seat,Minor,38,F,Female,38,31 to 45 years,Jan,UAE,Tuesday,10:00,AM,31 to 45 years,1,Not Identified,Not Identified,18,"After examining and inspecting the accident's site, the following was revealed:- The vehicle that caused the accident and the afflicted vehicle were both travelling from the east to the west to take a left turn. And when they both reached the edge of the traffic road, the front side of the former vehicle collided with the back side of the latter. and all of that because the driver of the former vehicle wasn't paying attention and thought that the afflicted vehicle was moving. As a result, the driver of the afflicted vehicle was injured and material damages were caused to both vehicles. everything was settled as shown in the diagram.","Khalifa bin Shakhbout Street with Al Saada Street, the intersection of Sheikh Saif bin Mohammed",Yes,60,None,1
Abu Dhabi,Khaldiya Police Station,2013,January,08-01-13,Abu Dhabi,Internal road,1.0013E+11,8,Second week,Traffic accident with injuries,Sudden deviation,1,Street Arabian Gulf(30),Street Arabian Gulf(30),Govt. authority,Highway,day,clear,????,Not on Intersection,Hitting a stationary object on the road,UAE,N,Passenger,Front passenger seat,Minor,19,F,Female,19,18 to 30 years,Jan,UAE,Tuesday,16:30,PM,18 to 30 years,1,Sports City,Block 27-2,16,"After examining and inspecting the accident's site, the following was revealed:- The vehicle that caused the accident and the afflicted vehicle were both travelling from the east to the west. the former was taking the second lane from the left while the latter was taking the second lane from the right. the former drifted out of it's lane and into the lane of the afflicted vehicle leading the latter to also drift to the right side and crash it's front right side into the iron fence which was on side of the road. then the afflicted vehicle made a half spin and crashed it's back left side into the iron fence for a second time. As a result, physical injuries and material damages were caused to driver and the afflicted vehicle. and damages were caused to the state's properties as shown in the diagram.",Near the Sharia court,No,100,None,4
Abu Dhabi,Khaldiya Police Station,2013,January,08-01-13,Abu Dhabi,Internal road,1.0013E+11,8,Second week,Traffic accident with injuries,Sudden deviation,1,Street Arabian Gulf(30),Street Arabian Gulf(30),Govt. authority,Highway,day,clear,????,Not on Intersection,Hitting a stationary object on the road,UAE,Y,Driver,Driver's seat,Moderate,21,F,Female,21,18 to 30 years,Jan,UAE,Tuesday,16:30,PM,18 to 30 years,1,Sports City,Block 27-2,16,"After examining and inspecting the accident's site, the following was revealed:- The vehicle that caused the accident and the afflicted vehicle were both travelling from the east to the west. the former was taking the second lane from the left while the latter was taking the second lane from the right. the former drifted out of it's lane and into the lane of the afflicted vehicle leading the latter to also drift to the right side and crash it's front right side into the iron fence which was on side of the road. then the afflicted vehicle made a half spin and crashed it's back left side into the iron fence for a second time. As a result, physical injuries and material damages were caused to driver and the afflicted vehicle. and damages were caused to the state's properties as shown in the diagram.",Near the Sharia court,Yes,100,None,4
Abu Dhabi,Shaabiya Police Station,2013,January,09-01-13,Abu Dhabi,Internal road,1.0013E+11,9,Second week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Street Salam (8),Street Salam (8),Commercial area,Bridge /  Tunnel,day,clear,Dry,Not on Intersection,Rear collision,UAE,Y,Driver,Driver's seat,Minor,25,M,Male,25,18 to 30 years,Jan,UAE,Wednesday,16:10,PM,18 to 30 years,1,Not Identified,Not Identified,12,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident and the first afflicted vehicle were both travelling from west to the east taking the second left lane, while the second afflicted vehicle was travelling from west to the east taking the third lane from the left. the front side of the former collided with the with the back side of the first afflicted vehicle and drifted to collide again with left side of the second afflicted vehicle and all of that was because of it's high speed and violation of the traffic rules.  As a result, physical injuries and material damages were caused to driver and vehicles. as shown in the diagram.",Sheikh Zayed Tunnel,Yes,80,None,4
Abu Dhabi,Shaabiya Police Station,2013,January,09-01-13,Abu Dhabi,Internal road,1.0013E+11,9,Second week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Street Salam (8),Street Salam (8),Commercial area,Bridge /  Tunnel,day,clear,Dry,Not on Intersection,Rear collision,Sultanate of Oman,Y,Driver,Driver's seat,Minor,65,M,Male,65,Above 60,Jan,GCC,Wednesday,16:10,PM,Above 60,1,Not Identified,Not Identified,12,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident and the first afflicted vehicle were both travelling from west to the east taking the second left lane, while the second afflicted vehicle was travelling from west to the east taking the third lane from the left. the front side of the former collided with the with the back side of the first afflicted vehicle and drifted to collide again with left side of the second afflicted vehicle and all of that was because of it's high speed and violation of the traffic rules.  As a result, physical injuries and material damages were caused to driver and vehicles. as shown in the diagram.",Sheikh Zayed Tunnel,Yes,80,None,4
Abu Dhabi,Shaabiya Police Station,2013,January,10-01-13,Abu Dhabi,Internal road,1.0013E+11,10,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,IP11 IntersectionZayed Al Awal - Salam,IP11 IntersectionZayed Al Awal - Salam,Commercial area,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,Iraq,Y,Passenger,Front passenger seat,Minor,25,F,Female,25,18 to 30 years,Jan,Arab States,Thursday,8:10,AM,18 to 30 years,1,Markaziya,Block 53-1,98,"After examining and inspecting the accident's site, the following was revealed:-
the vehicle that caused the accident was travelling from the east to the west taking a left turn to the south and running the red light. The first afflicted vehicle was travelling from the west to the east going straight. The second afflicted vehicle was travelling from from the south to the north and taking a right turn to the east. When they all reached the crossroads, the front of the former vehicle collided with back left side of the first afflicted vehicle leading it to drift because of the powerful impact and collide from the back with the left side of the second afflicted vehicle. Then they all stopped. The accident was diagrammed. ",Abu Dhabi Commercial Bank intersection,Yes,60,None,4
Abu Dhabi,Shaabiya Police Station,2013,January,10-01-13,Abu Dhabi,Internal road,1.0013E+11,10,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,IP11 IntersectionZayed Al Awal - Salam,IP11 IntersectionZayed Al Awal - Salam,Commercial area,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,Iraq,Y,Driver,Driver's seat,Minor,52,F,Female,52,46 to 60 years,Jan,Arab States,Thursday,8:10,AM,46 to 60 years,1,Markaziya,Block 53-1,98,"After examining and inspecting the accident's site, the following was revealed:-
the vehicle that caused the accident was travelling from the east to the west taking a left turn to the south and running the red light. The first afflicted vehicle was travelling from the west to the east going straight. The second afflicted vehicle was travelling from from the south to the north and taking a right turn to the east. When they all reached the crossroads, the front of the former vehicle collided with back left side of the first afflicted vehicle leading it to drift because of the powerful impact and collide from the back with the left side of the second afflicted vehicle. Then they all stopped. The accident was diagrammed.",Abu Dhabi Commercial Bank intersection,Yes,60,None,4
Abu Dhabi,Al Madina Police Station,2013,January,12-01-13,Abu Dhabi,Internal road,1.0013E+11,12,Second week,Traffic accident with injuries,Misuse of traffic,1,IP14 IntersectionKhalifa Bin Zayed - Al Sharqi (Muroor),IP14 IntersectionKhalifa Bin Zayed - Al Sharqi (Muroor),Commercial area,Highway,night - enough lights,clear,Dry,Perpendicular Intersection,Person run over,Bangladesh,N,Pedestrian,No passenger,Moderate,39,M,Male,39,31 to 45 years,Jan,Asian States,Saturday,20:08,PM,31 to 45 years,1,Markaziya,Block 11-1,114,"After examining and inspecting the accident's site, the following was revealed:- the vehicle that caused the accident was travelling from the north to the south taking the left lane. The victim was running from the west to the east to cross the street from between the cars and was met by the the former vehicle after he appeared suddenly coming out from between the cars that was waiting for the green light and hit him from the right side. As as a result, the victim was moderately injured and material damages were caused to the vehicle. ",Near the National Bank of Abu Dhabi,No,60,"Cross, but not on the crosswalk",4
