Emirate,Police Station,Year,Month,Date,City,Road,Report Number,Day,Week,Report type,Reasons,Computed,Streets,Street,Place,Location,lighting,Weather,Road surface,Intersection,Accident Type,Nationalities,Seat Belt,Injured person position,Injured person's seat,Degree of the injury,Age of the injured,Gender,Gender of the injured,Inp Age,Age Group,Date - Month,Nationality of the Injured person,Day,Iac Rep Time,Time,Age Group - Ministry,Computed2,Area,Block,Str Code,Accident Description,Location,Fasten seat belt,Road speed limit,Pedestrian action,Number of Lanes
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,India,Y,Passenger,Back passenger seat,Minor,25,M,Male,25,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3813.                   After detection and inspecting the accident site, the following accident chart became clear: -While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle, according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",Yes,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,India,Y,Passenger,Back passenger seat,Minor,30,M,Male,30,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3814.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle, according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",Yes,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,Pakistan,Y,Driver,Driver's seat,Minor,40,M,Male,40,31 to 45 years,Jan,Asian States,Monday,5:30,PM,31 to 45 years,1,Qasr Al Bahar,Block 36-1,129,"3815.                   After detection and inspecting the accident site, the following accident chart became clear: -While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle, according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",Yes,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,India,N,Passenger,Back passenger seat,Minor,29,M,Male,29,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3816.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle, according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",No,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,India,Y,Passenger,Back passenger seat,Minor,20,M,Male,20,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3817.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",Yes,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,India,Y,Passenger,Back passenger seat,Minor,26,M,Male,26,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3818.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",Yes,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,Afghanistan,Y,Driver,Driver's seat,Minor,37,M,Male,37,31 to 45 years,Jan,Asian States,Monday,5:30,PM,31 to 45 years,1,Qasr Al Bahar,Block 36-1,129,"3819.                   After detection and inspecting the accident site, the following accident chart became clear: -While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",Yes,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,India,N,Passenger,Back passenger seat,Severe,26,M,Male,26,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3820.                   After detection and inspecting the accident site, the following accident chart became clear: -While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",No,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,Pakistan,N,Passenger,Back passenger seat,Minor,24,M,Male,24,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3821.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",No,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,Pakistan,N,Passenger,Back passenger seat,Severe,34,M,Male,34,31 to 45 years,Jan,Asian States,Monday,5:30,PM,31 to 45 years,1,Qasr Al Bahar,Block 36-1,129,"3822.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",No,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,Bangladesh,Y,Passenger,Back passenger seat,Minor,40,M,Male,40,31 to 45 years,Jan,Asian States,Monday,5:30,PM,31 to 45 years,1,Qasr Al Bahar,Block 36-1,129,"3823.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",Yes,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,India,N,Passenger,Back passenger seat,Minor,42,M,Male,42,31 to 45 years,Jan,Asian States,Monday,5:30,PM,31 to 45 years,1,Qasr Al Bahar,Block 36-1,129,"3824.                   After detection and inspecting the accident site, the following accident chart became clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",No,100,None,5
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Not leaving enough space,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on Intersection,Rear collision,Philippines,N,Driver,Driver's seat,Moderate,51,M,Male,51,46 to 60 years,Jan,Asian States,Monday,6:10,AM,46 to 60 years,1,Qasr Al Bahar,Block 36-1,129,"3825.                   After detection and inspection by the policeman, the following accident chart became clear: While the vehicles were coming from the west towards the east, and the vehicles were in traffic, and because of not leaving enough space with the causing vehicle, the front of the causing vehicle collided with the first damaged vehicle, which led to it colliding with the second damaged vehicle, and the accident resulted in the first damaged vehicle and sleeping in Khalifa Hospital.","Al Sharqi Ring Road, Al Saada Bridge area",No,100,None,4
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on Intersection,Rear collision,UAE,N,Pedestrian,No passenger,Minor,22,M,Male,22,18 to 30 years,Jan,UAE,Monday,11:55,AM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3826.                   After detection and inspection by the person who made the accident chart, the following is revealed:  Vehicles are coming from east to west direction, the causing vehicle is in second lane from the right and the other first and second damaged vehicles in a parking condition on the third line from the right due to the breakdown of the first damaged vehicle and the third damaged vehicle on the left lane, and the run-over person is the driver of the first damaged vehicle as he was standing behind his stalled vehicle. The driving of the causing vehicle, and due to the excessive speeding by the offending driver, was surprised by parking situation and he was runed over the run-over person, then collided with the front of the causing vehicle at the rear of the first damaged vehicle, which led to the first damaged vehicle rushing to collide with the front at the back of the second damaged vehicle and the second damaged vehicle rushed to collide with the left front corner on the right side of the third damaged vehicle, and accordingly, the accident occurred as shown in the final chart.",Before Al Saada Bridge - Inward,No,80,None,4
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on Intersection,Rear collision,UAE,Y,Driver,Driver's seat,Minor,20,M,Male,20,18 to 30 years,Jan,UAE,Monday,11:55,AM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3827.                   After detection and inspection by the person who made the accident chart, the following is revealed:  Vehicles are coming from east to west direction, the causing vehicle is in second lane from the right and the other first and second damaged vehicles in a parking condition on the third line from the right due to the breakdown of the first damaged vehicle and the third damaged vehicle on the left lane, and the run-over person is the driver of the first damaged vehicle as he was standing behind his stalled vehicle. The driving of the causing vehicle, and due to the excessive speeding by the offending driver, was surprised by parking situation and he was runed over the run-over person, then collided with the front of the causing vehicle at the rear of the first damaged vehicle, which led to the first damaged vehicle rushing to collide with the front at the back of the second damaged vehicle and the second damaged vehicle rushed to collide with the left front corner on the right side of the third damaged vehicle, and accordingly, the accident occurred as shown in the final chart.",Before Al Saada Bridge - Inward,Yes,80,None,4
