Emirate,Police Station,Year,Month,Date,City,Road,Report Number,Day,Week,Report type,Reasons,Computed,Streets,Street,Place,Location,lighting,Weather,Road surface,Intersection,Accident Type,Nationalities,Seat Belt,Injured person position,Injured person's seat,Degree of the injury,Age of the injured,Gender,Gender of the injured,Inp Age,Age Group,Date - Month,Nationality of the Injured person,Day,Iac Rep Time,Time,Age Group - Ministry,Computed2,Area,Block,Str Code,Accident Description,Location,Fasten seat belt,Road speed limit,Pedestrian action,Number of Lanes
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,IP40 IntersectionRashed Bin Saeed Al-Maktoum - Street 35,Fuel Station,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,Canada,N,Passenger,Back passenger seat,Moderate,35,M,Male,35,31 to 45 years,Jan,Other,Thursday,9:08,AM,31 to 45 years,1,Airport,Block 27-1,189,"4637.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the far left lane trying to turn and take the east direction, the damaged vehicle was coming from the west to the east taking the left third lane, the first ran the red light and bumped into the right side of the other, the two drivers and the passengers were injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",Wimpey intersection,No,80,None,4
Abu Dhabi,Khaldiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Misuse of traffic,1,IP4 IntersectionZayed Al Awal - Street 26,IP4 IntersectionZayed Al Awal - Street 26,Residential area,Highway,day,clear,Dry,Not on Intersection,Person run over,Jordan,N,Pedestrian,No passenger,Severe,8,M,Male,8,8 to 17 years,Jan,Arab States,Thursday,16:36,PM,Below 18 years,1,Khaldiya,Block 53-2,92,"4638.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the north the south taking the right lane of a street of Zayed I road, the victim was coming from the west to the east, the driver misjudged the distance and hit the pedestrian, the latter was taken to the hospital and the vehicle had damages as illustrated in the chart.","Al Khaldiya Area, a side street of Zayed Al Awal",No,40,"Cross, there's no crosswalk",2
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP36 IntersectionSalam - Falah,IP36 IntersectionSalam - Falah,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,India,N,Passenger,Back passenger seat,Severe,12,F,Female,12,8 to 17 years,Jan,Asian States,Thursday,22:15,PM,Below 18 years,1,Madinat Zayed (Abu Dhabi),Block 54-1,150,"4639.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the second right lane to the arrow direction, the damaged vehicle was coming from the west to the east taking the third left lane, the driver ran the red light, the front part crashed into the right rear part of the other, the driver of the first injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",The intersection of Al Salam Street with Al Falah Street,No,80,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP36 IntersectionSalam - Falah,IP36 IntersectionSalam - Falah,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,India,N,Passenger,Back passenger seat,Minor,66,F,Female,66,Above 60,Jan,Asian States,Thursday,22:15,PM,Above 60,1,Madinat Zayed (Abu Dhabi),Block 54-1,150,"4640.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the second right lane to the arrow direction, the damaged vehicle was coming from the west to the east taking the third left lane, the driver ran the red light, the front part crashed into the right rear part of the other, the driver of the first injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",The intersection of Al Salam Street with Al Falah Street,No,80,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP36 IntersectionSalam - Falah,IP36 IntersectionSalam - Falah,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,India,N,Passenger,Back passenger seat,Minor,31,M,Male,31,31 to 45 years,Jan,Asian States,Thursday,22:15,PM,31 to 45 years,1,Madinat Zayed (Abu Dhabi),Block 54-1,150,"4641.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the second right lane to the arrow direction, the damaged vehicle was coming from the west to the east taking the third left lane, the driver ran the red light, the front part crashed into the right rear part of the other, the driver of the first injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",The intersection of Al Salam Street with Al Falah Street,No,80,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,05-01-12,Abu Dhabi,Internal road,1.0012E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP36 IntersectionSalam - Falah,IP36 IntersectionSalam - Falah,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,India,N,Passenger,Back passenger seat,Minor,35,F,Female,35,31 to 45 years,Jan,Asian States,Thursday,22:15,PM,31 to 45 years,1,Madinat Zayed (Abu Dhabi),Block 54-1,150,"4642.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the second right lane to the arrow direction, the damaged vehicle was coming from the west to the east taking the third left lane, the driver ran the red light, the front part crashed into the right rear part of the other, the driver of the first injured as well as other damages caused to the two vehicles. The accident is charted and necessary actions are made.         ",The intersection of Al Salam Street with Al Falah Street,No,80,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,06-01-12,Abu Dhabi,Internal road,1.0012E+11,6,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP75D IntersectionAl Sharqi (Muroor) - Street 31,IP75D IntersectionAl Sharqi (Muroor) - Street 31,Fuel Station,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Egypt,Y,Passenger,Front passenger seat,Minor,42,M,Male,42,31 to 45 years,Jan,Arab States,Friday,1:15,PM,31 to 45 years,1,Hadbat Al Zafaran,Block 25-1,186,"4643.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east the west taking the direction of the arrow leading to the south, the damaged vehicle was coming from the west to the east taking the second right lane, the driver ran the red light, the front part of the damaged crashed into the right front part of the causing, the latter then bumped into the concrete base of the traffic light pole.  This was how the accident happened.         ",Haraj intersection,Yes,60,None,4
Abu Dhabi,Khaldiya Police Station,2012,January,07-01-12,Abu Dhabi,Internal road,1.0012E+11,7,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Govt. authority,Double road,night - enough lights,clear,Dry,Not on or around 20 meters,Person run over,Somalia,N,Pedestrian,No passenger,Minor,50,F,Female,50,46 to 60 years,Jan,Arab States,Saturday,16:44,PM,46 to 60 years,1,Manhal,Block 14-2,14,"4644.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from Sheikh Rashed bin Saeed St. from the north to the south, once it arrived the intersection, as stated by the driver, certain vehicle swerved ahead, the driver lost control and bumped into the pavement and the traffic sign, then climbed over the pavement to the direction of a woman and her son standing over there, they were hit by the front part of the vehicle, the driver stopped off road, the woman had mild injury and the child moderate one, she and the child left Sheikh Khalifa Hospital after treatment, as well as other damages caused to the vehicle and the sign. The accident is charted and necessary actions are made.         ","Al Khaldiya Area, behind Qasr Al Hosn, Street off Rashid bin Saeed Street, behind Qasr Al Manhal",No,40,Stop,2
Abu Dhabi,Khaldiya Police Station,2012,January,07-01-12,Abu Dhabi,Internal road,1.0012E+11,7,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Govt. authority,Double road,night - enough lights,clear,Dry,Not on or around 20 meters,Person run over,Somalia,N,Pedestrian,No passenger,Moderate,5,M,Male,5,1 to 7 years,Jan,Arab States,Saturday,16:44,PM,Below 18 years,1,Manhal,Block 14-2,14,"4645.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from Sheikh Rashed bin Saeed St. from the north to the south, once it arrived the intersection, as stated by the driver, certain vehicle swerved ahead, the driver lost control and bumped into the pavement and the traffic sign, then climbed over the pavement to the direction of a woman and her son standing over there, they were hit by the front part of the vehicle, the driver stopped off road, the woman had mild injury and the child moderate one, she and the child left Sheikh Khalifa Hospital after treatment, as well as other damages caused to the vehicle and the sign. The accident is charted and necessary actions are made.         ","Al Khaldiya Area, behind Qasr Al Hosn, Street off Rashid bin Saeed Street, behind Qasr Al Manhal",No,40,Stop,2
Abu Dhabi,Shaabiya Police Station,2012,January,08-01-12,Abu Dhabi,Internal road,1.0012E+11,8,Second week,Traffic accident with injuries,Not leaving enough space,1,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Commercial area,Double road,day,clear,Dry,Not on or around 20 meters,Rear collision,India,N,Passenger,Back passenger seat,Minor,28,M,Male,28,18 to 30 years,Jan,Asian States,Sunday,4:45,PM,18 to 30 years,1,Al Wahda,Block 17-1,174,"4646.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east to the west, the damaged vehicles were ahead, the causing did not leave enough distance and bumped into the rear part of the first, the latter crashed into the second, the latter crashed into the third as illustrated in the chart.  ","Al Muroor Street, Inward, before Al Jarida intersection",No,60,None,3
Abu Dhabi,Shaabiya Police Station,2012,January,08-01-12,Abu Dhabi,Internal road,1.0012E+11,8,Second week,Traffic accident with injuries,Not leaving enough space,1,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Commercial area,Double road,day,clear,Dry,Not on or around 20 meters,Rear collision,India,N,Passenger,Front passenger seat,Moderate,21,M,Male,21,18 to 30 years,Jan,Asian States,Sunday,4:45,PM,18 to 30 years,1,Al Wahda,Block 17-1,174,"4647.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east to the west, the damaged vehicles were ahead, the causing did not leave enough distance and bumped into the rear part of the first, the latter crashed into the second, the latter crashed into the third as illustrated in the chart.  ","Al Muroor Street, Inward, before Al Jarida intersection",No,60,None,3
Abu Dhabi,Khaldiya Police Station,2012,January,08-01-12,Abu Dhabi,Internal road,1.0012E+11,8,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,IP135 IntersectionArabian Gulf - Al Saada,IP135 IntersectionArabian Gulf - Al Saada,Residential area,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,India,Y,Driver,Driver's seat,Minor,39,M,Male,39,31 to 45 years,Jan,Asian States,Sunday,9:00,AM,31 to 45 years,1,Mushrif,Block 79-2,134,"4648.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the west to the east, the damaged vehicle was coming from the north to the south, the causing ran the red light and bumped into the right side of the other as illustrated in the chart.  ","Arabian Gulf Street, Saeed Bin Tahnoun intersection",Yes,80,None,3
Abu Dhabi,Khaldiya Police Station,2012,January,08-01-12,Abu Dhabi,Internal road,1.0012E+11,8,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,IP135 IntersectionArabian Gulf - Al Saada,IP135 IntersectionArabian Gulf - Al Saada,Residential area,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,Egypt,Y,Driver,Driver's seat,Minor,56,F,Female,56,46 to 60 years,Jan,Arab States,Sunday,9:00,AM,46 to 60 years,1,Mushrif,Block 79-2,134,"4649.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the west to the east, the damaged vehicle was coming from the north to the south, the causing ran the red light and bumped into the right side of the other as illustrated in the chart.  ","Arabian Gulf Street, Saeed Bin Tahnoun intersection",Yes,80,None,3
Abu Dhabi,Shaabiya Police Station,2012,January,09-01-12,Abu Dhabi,Internal road,1.0012E+11,9,Second week,Traffic accident with injuries,Speedy without taking road conditions into account,1,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,Commercial area,Intersection,day,clear,Dry,Not on or around 20 meters,Person run over,Pakistan,N,Pedestrian,No passenger,Moderate,47,M,Male,47,46 to 60 years,Jan,Asian States,Monday,7:20,AM,46 to 60 years,1,Markaziya (Gharb),Block 12-2,107,"4650.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the north to the east taking the right lane, a person was crossing the road from the east to the west in a point not designated for the pedestrians, the driver lost attention and bumped into that person, the latter got injured. The accident is charted and necessary actions are made.          ","Al Markaziya area, Hamdan Street, Ahmed bin Hamed intersection",No,60,"Cross, there's no crosswalk",3
Abu Dhabi,Shaabiya Police Station,2012,January,10-01-12,Abu Dhabi,Internal road,1.0012E+11,10,Second week,Traffic accident with injuries,Not observing the stop sign,1,Al Sharqi Street (Muroor) (4),Al Sharqi Street (Muroor) (4),Mosque,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,USA,N,Driver,Driver's seat,Moderate,50,M,Male,50,46 to 60 years,Jan,Other,Tuesday,3:50,PM,46 to 60 years,1,Madinat Zayed (Abu Dhabi),Block 34-1,13,"4651.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the east to the west, the damaged vehicle (motorbike) was coming from the south to the north, the causing when arrived the intersection did not stop despite a sign reading “stop”, the front part of the damaged bumped into the left side of the causing, the driver of the damaged was injured along with other damages to both vehicles as illustrated in the chart.  ","Madinat Zayed Area, Al Muroor Road",No,40,None,1
Abu Dhabi,Shaabiya Police Station,2012,January,10-01-12,Abu Dhabi,Internal road,1.0012E+11,10,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,Street Salam (8),Street Salam (8),Govt. authority,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,UAE,N,Driver,Driver's seat,Death,37,F,Female,37,31 to 45 years,Jan,UAE,Tuesday,14:20,PM,31 to 45 years,1,Qasr Al Bahar,Block 75-1,12,"4652.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the west to the east taking the second right lane, the two damaged vehicles were coming from the south to the north, one taking the second right lane and the other right lane, the causing ran the red light and exceeded the speed limit, it bumped into the left side of the first, the latter swerved and bumped into the traffic pole, the driver stuck inside, it also served to the right and bumped into the right side of the second, the latter stopped on the island, the causing driver died along with physical damages to the vehicles and the state-owned properties as illustrated in the chart.  ","Qasr Al Bahar intersection, near Al Nahyan camp",No,80,None,4
Abu Dhabi,Shaabiya Police Station,2012,January,10-01-12,Abu Dhabi,Internal road,1.0012E+11,10,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,Street Salam (8),Street Salam (8),Govt. authority,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,India,N,Driver,Driver's seat,Moderate,44,M,Male,44,31 to 45 years,Jan,Asian States,Tuesday,14:20,PM,31 to 45 years,1,Qasr Al Bahar,Block 75-1,12,"4653.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the west to the east taking the second right lane, the two damaged vehicles were coming from the south to the north, one taking the second right lane and the other right lane, the causing ran the red light and exceeded the speed limit, it bumped into the left side of the first, the latter swerved and bumped into the traffic pole, the driver stuck inside, it also served to the right and bumped into the right side of the second, the latter stopped on the island, the causing driver died along with physical damages to the vehicles and the state-owned properties as illustrated in the chart.  ","Qasr Al Bahar intersection, near Al Nahyan camp",No,80,None,4
Abu Dhabi,Khaldiya Police Station,2012,January,13-01-12,Abu Dhabi,Internal road,1.0012E+11,13,Second week,Traffic accident with injuries,Misuse of traffic,1,Street Corniche(1),Street Corniche(1),Fuel Station,Intersection,night - enough lights,clear,Dry,Half Perpendicular Intersection,Person run over,UAE,N,Pedestrian,No passenger,Minor,15,M,Male,15,8 to 17 years,Jan,UAE,Friday,22:00,PM,Below 18 years,1,Khaldiya,Block 73-2,29,"4654.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the north to the south, while the victim was coming from the west to the east in a point not designated for pedestrians, the driver surprised, the left front angle of the vehicle bumped into the victim as illustrated in the chart. ",Intersection near the gas station,No,60,"Cross, there's no crosswalk",3
Abu Dhabi,Shaabiya Police Station,2012,January,14-01-12,Abu Dhabi,Internal road,1.0012E+11,14,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,IP20 IntersectionHamdan Bin Mohamed - Rashed Bin Saeed Al-Maktoum,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Jordan,N,Driver,Driver's seat,Moderate,41,M,Male,41,31 to 45 years,Jan,Arab States,Saturday,17:55,PM,31 to 45 years,1,Markaziya (Gharb),Block 12-2,107,"4655.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the north to the south taking the second left lane, while the damaged motorbike was coming from the east to the west taking the second right lane, when the causing ran the red light, the front part of the other hit the left side of the causing as illustrated in the chart.","Sheikh Rashid Bin Saeed Street, Marks & ??Spencer intersection",No,60,None,3
Abu Dhabi,Shaabiya Police Station,2012,January,14-01-12,Abu Dhabi,Internal road,1.0012E+11,14,Second week,Traffic accident with injuries,Bypassing the red traffic light,1,IP71 IntersectionAl Saada - Rashed Bin Saeed Al-Maktoum,IP71 IntersectionAl Saada - Rashed Bin Saeed Al-Maktoum,Bridge / Tunnel,Intersection,day,clear,Dry,Perpendicular Intersection,Perpendicular collision,Philippines,N,Passenger,Back passenger seat,Minor,29,F,Female,29,18 to 30 years,Jan,Asian States,Saturday,13:55,PM,18 to 30 years,1,Mushrif,Block 19-2,131,"4656.                 Having surveyed the scene of the accident: - The vehicle causing the accident was heading from the west to the east taking the middle lane, while the damaged vehicle was coming from the north to the south taking the far right lane, when the damaged ran the red light, the front part of the latter hit the right side of the causing as illustrated in the chart.",The intersection of Rashid bin Saeed Street with Happiness Street (Abu Dhabi Police General Command Bridge intersection),No,60,None,3
